iter	Passed	Remaining
0	1	157
1	3	152
2	4	145
3	5	137
4	7	136
5	8	135
6	10	134
7	11	137
8	13	138
9	15	136
10	16	133
11	18	134
12	19	131
13	21	129
14	22	127
15	24	126
16	25	124
17	27	123
18	28	121
19	29	119
20	31	117
21	32	115
22	33	113
23	35	111
24	36	110
25	37	108
26	39	105
27	40	104
28	41	102
29	43	100
30	44	99
31	46	97
32	47	96
33	48	94
34	49	92
35	51	91
36	52	90
37	54	88
38	55	87
39	57	86
40	59	85
41	60	82
42	61	81
43	65	83
44	71	87
45	74	87
46	77	87
47	80	87
48	82	85
49	84	84
50	85	82
51	86	80
52	88	78
53	89	76
54	91	75
55	93	73
56	94	71
57	96	69
58	98	68
59	99	66
60	101	64
61	102	62
62	104	61
63	105	59
64	107	57
65	108	56
66	110	54
67	111	52
68	113	51
69	115	49
70	117	47
71	119	46
72	120	44
73	122	43
74	123	41
75	125	39
76	126	37
77	128	36
78	129	34
79	131	32
80	132	31
81	134	29
82	136	27
83	137	26
84	139	24
85	140	22
86	141	21
87	143	19
88	145	17
89	146	16
90	148	14
91	149	12
92	151	11
93	153	9
94	157	8
95	159	6
96	160	4
97	162	3
98	163	1
99	165	0
