iter	Passed	Remaining
0	1	1275
1	2	1173
2	3	1107
3	4	1067
4	5	1047
5	6	1036
6	7	1033
7	8	1029
8	9	1021
9	10	1016
10	13	1195
11	14	1186
12	15	1167
13	16	1151
14	17	1136
15	18	1123
16	19	1112
17	20	1101
18	21	1091
19	22	1086
20	23	1080
21	24	1073
22	25	1067
23	26	1090
24	27	1089
25	29	1088
26	30	1085
27	31	1087
28	32	1098
29	33	1094
30	34	1088
31	35	1082
32	36	1077
33	37	1072
34	38	1067
35	39	1061
36	41	1074
37	42	1079
38	43	1076
39	44	1072
40	45	1067
41	46	1064
42	47	1061
43	48	1057
44	49	1054
45	50	1051
46	51	1048
47	52	1044
48	53	1042
49	56	1072
50	57	1075
51	58	1072
52	59	1069
53	60	1066
54	61	1062
55	62	1059
56	63	1056
57	64	1054
58	65	1052
59	66	1049
60	67	1045
61	69	1052
62	71	1064
63	74	1089
64	76	1097
65	77	1100
66	79	1110
67	81	1110
68	82	1107
69	83	1103
70	84	1109
71	86	1108
72	87	1105
73	88	1108
74	90	1111
75	91	1108
76	92	1104
77	93	1100
78	94	1097
79	95	1094
80	96	1090
81	97	1087
82	97	1079
83	99	1087
84	101	1089
85	102	1085
86	103	1082
87	104	1079
88	105	1075
89	106	1072
90	107	1069
91	108	1067
92	109	1065
93	110	1065
94	111	1063
95	112	1061
96	114	1064
97	115	1062
98	116	1061
99	117	1060
100	118	1057
101	119	1055
102	121	1057
103	123	1060
104	124	1061
105	126	1064
106	127	1063
107	128	1065
108	130	1063
109	131	1063
110	132	1063
111	134	1065
112	135	1063
113	136	1060
114	137	1057
115	138	1055
116	139	1051
117	140	1049
118	142	1052
119	143	1049
120	144	1052
121	145	1049
122	146	1047
123	147	1044
124	150	1050
125	151	1049
126	152	1049
127	153	1048
128	154	1045
129	156	1049
130	158	1048
131	159	1047
132	160	1045
133	161	1043
134	162	1042
135	163	1041
136	165	1040
137	167	1048
138	169	1051
139	172	1058
140	173	1057
141	174	1056
142	176	1055
143	177	1055
144	178	1053
145	183	1072
146	185	1075
147	187	1082
148	190	1086
149	191	1085
150	192	1083
151	193	1080
152	194	1078
153	199	1098
154	204	1113
